,user_id,topic,time_spent,quiz_score,preference,feedback,rating
0,100,Derivatives,11,87,Text,Loved the animation,1
1,101,Probability,51,63,Audio,"Too fast, need more examples",2
2,102,Linear Equations,30,95,Text,Need detailed explanations,1
3,103,Limits,51,63,Audio,Clear and concise,2
4,104,Geometry,54,77,Visual,"Too fast, need more examples",5
5,105,Probability,57,79,Visual,Need detailed explanations,2
6,106,Statistics,43,91,Visual,Very easy to understand,4
7,107,Functions,39,72,Text,Good but a bit advanced,3
8,108,Algebra,26,70,Audio,Very easy to understand,3
9,109,Functions,49,84,Visual,Very easy to understand,4
10,110,Algebra,46,77,Audio,Need detailed explanations,2
11,111,Probability,22,100,Interactive,Add more practice questions,3
12,112,Statistics,52,85,Text,Good but a bit advanced,5
13,113,Linear Equations,26,39,Audio,Loved the animation,1
14,114,Geometry,49,60,Audio,Very easy to understand,5
15,115,Derivatives,27,95,Interactive,"Too fast, need more examples",4
16,116,Algebra,22,91,Visual,More diagrams would help,1
17,117,Calculus,13,39,Interactive,Prefer video format,4
18,118,Trigonometry,23,73,Visual,"Too fast, need more examples",2
19,119,Algebra,58,56,Audio,Helpful content!,3
20,120,Derivatives,60,85,Text,Very easy to understand,1
21,121,Functions,47,55,Text,Clear and concise,2
22,122,Derivatives,43,31,Visual,Very easy to understand,1
23,123,Geometry,58,65,Interactive,Loved the animation,2
24,124,Probability,59,71,Visual,Add more practice questions,5
25,125,Trigonometry,28,86,Audio,Very easy to understand,2
26,126,Linear Equations,19,94,Visual,Need detailed explanations,5
27,127,Limits,15,75,Visual,"Too fast, need more examples",4
28,128,Probability,37,91,Audio,Helpful content!,2
29,129,Linear Equations,13,93,Interactive,Prefer video format,2
30,130,Linear Equations,52,95,Interactive,Helpful content!,5
31,131,Probability,25,70,Interactive,Need detailed explanations,5
32,132,Derivatives,46,97,Visual,Add more practice questions,4
33,133,Linear Equations,35,81,Text,Very easy to understand,1
34,134,Limits,56,33,Interactive,Good but a bit advanced,2
35,135,Geometry,17,63,Audio,Add more practice questions,1
36,136,Derivatives,17,63,Audio,More diagrams would help,5
37,137,Trigonometry,24,89,Audio,More diagrams would help,4
38,138,Algebra,18,49,Interactive,Prefer video format,3
39,139,Linear Equations,37,36,Interactive,Loved the animation,4
40,140,Linear Equations,49,61,Audio,Prefer video format,2
41,141,Algebra,16,45,Text,Add more practice questions,5
42,142,Functions,36,70,Text,Need detailed explanations,5
43,143,Derivatives,30,68,Text,Helpful content!,5
44,144,Calculus,23,59,Visual,Loved the animation,3
45,145,Limits,12,82,Text,Helpful content!,3
46,146,Geometry,12,83,Audio,More diagrams would help,3
47,147,Linear Equations,51,82,Text,Good but a bit advanced,4
48,148,Linear Equations,58,48,Visual,"Too fast, need more examples",4
49,149,Linear Equations,35,93,Interactive,Prefer video format,5
50,150,Probability,43,99,Visual,More diagrams would help,5
51,151,Geometry,52,69,Audio,More diagrams would help,2
52,152,Probability,57,33,Visual,Add more practice questions,5
53,153,Algebra,28,68,Audio,Very easy to understand,3
54,154,Algebra,57,98,Text,Need detailed explanations,3
55,155,Derivatives,38,55,Audio,Loved the animation,1
56,156,Statistics,57,100,Text,Loved the animation,5
57,157,Algebra,60,100,Interactive,More diagrams would help,3
58,158,Calculus,13,52,Audio,Add more practice questions,5
59,159,Derivatives,30,70,Visual,Very easy to understand,4
60,160,Linear Equations,58,96,Interactive,"Too fast, need more examples",4
61,161,Calculus,22,87,Text,Good but a bit advanced,3
62,162,Limits,57,79,Visual,More diagrams would help,5
